"Date","waterYear","Temperature_C","cond_uScm","wy_doy","ice_or_no","ice_presence","Flow","cumulative_dis","airT_mean","airT_max","airT_min","wind_10m_mean","wind_10m_max","cumulative_water_temp","cumulWaterTemp_3day_slope","cumulWaterTemp_5day_slope","CFDD","temp_5day_mean","temp_7day_mean","z_cond_uScm","CLWD","wind_2day_mean"
2014-10-25,2015,2.7,19.01,25,0,"no ice",1.85,102.08,9.66625,13.39,7.26,12.8449679776628,20.5562673078125,75.2,2.69999999999998,2.82,0,6.33991666666667,6.07791666666667,-0.719473425090033,0,16.0307935438814
2014-10-26,2015,2.8,19.15,26,0,"no ice",1.85,103.93,6.91416666666667,8.81,4.81,20.0416408674956,31.2014771636439,78,2.74999999999998,2.72,0,6.46283333333333,6.27964285714286,-0.667534572857208,0,16.4433044225792
2014-10-27,2015,0.6,19.3,27,0,"no ice",1.71,105.64,-4.53,1.05,-6.78,12.1652472164898,23.7951749718585,78.6,1.69999999999998,2.31,1,5.056,4.86910714285714,-0.611885802607752,0,16.1034440419927
2014-10-28,2015,0,19.44,28,0,"no ice",1.71,107.35,-2.36333333333333,1.11,-5.5,19.5405098763213,26.7533773050206,78.6,0.299999999999984,1.56,2,3.614,3.63154761904762,-0.559946950374927,0,15.8528785464055
2014-10-29,2015,0,19.59,29,0,"no ice",1.66,109.01,1.55041666666667,4.52,-0.83,21.6237572920876,26.429486538616,78.6,-1.31001354451277e-14,0.739999999999998,0,2.2475,3.49529761904762,-0.504298180125471,0,20.5821335842045
2014-10-30,2015,0.3,19.73,30,0,"no ice",1.61,110.62,1.45125,7.63,-3.25,10.7981582732943,26.0192249011702,78.9,0.149999999999985,0.179999999999999,0,0.6045,3.01023809523809,-0.452359327892646,0,16.210957782691
2014-10-31,2015,1.1,19.88,31,0,"no ice",1.57,112.19,4.47375,9.77,-5.27,11.9790100258171,21.8302376556706,80,0.699999999999971,0.309999999999998,0,0.116416666666666,2.45178571428571,-0.396710557643191,0,11.3885841495557
2014-11-01,2015,1.6,20.02,32,0,"no ice",1.52,113.71,6.13875,8.71,2.78,12.7792901276443,23.96791671,81.6,1.34999999999997,0.739999999999995,0,2.25016666666667,1.94785714285714,-0.344771705410366,0,12.3791500767307
2014-11-02,2015,1.1,20.17,33,0,"no ice",1.47,115.18,2.42375,6.07,-2.28,11.4063531566176,18.56973727,82.7,1.34999999999999,1.09,0,3.20758333333333,1.30636904761905,-0.289122935160909,0,12.0928216421309
2014-11-03,2015,0.2,20.31,34,0,"no ice",1.43,116.61,-4.20666666666667,-1.15,-6.21,12.9173935518171,22.8882808259256,82.9,0.649999999999985,1.07,1,2.05616666666667,1.35255952380952,-0.237184082928085,0,12.1618733542173
